relation,n,min,q1,median,mean,q3,max,std
genuine,3984,0.1146124790151091,0.2626479454206952,0.30877312740818463,0.3097767703443742,0.357589962471484,0.5154566996984059,0.06907365009502708
same_subject_different_eye,3295,0.3336895195759959,0.411805585685288,0.4290045248868778,0.4301452493282074,0.4471752763944389,0.5179208106586601,0.026129809092183563
twin_same_eye,3102,0.3274374460742019,0.411767943324168,0.4275519627189406,0.42760663655704567,0.44348889849428796,0.5253126861226921,0.025049298387010685
twin_cross_eye,3008,0.3398148148148148,0.4170003412287079,0.434429080064186,0.4331350409833614,0.4496429316450372,0.5148257968865827,0.02480630941287365
unrelated,50000,0.3405405405405405,0.4326988410314581,0.44903224843353506,0.4492310739697705,0.46543742339955796,0.5635219548043359,0.024235757436063633
