comparison,group_a,group_b,n_a,n_b,mean_a,mean_b,median_a,median_b,std_a,std_b,observed_mean_difference_a_minus_b,bootstrap_n,bootstrap_mean_difference_mean,bootstrap_mean_difference_std,bootstrap_ci_95_low,bootstrap_ci_95_high,permutation_n,permutation_pvalue_two_sided,cohen_d_a_minus_b,ci_direction,interpretation,bootstrap_plot
genuine_vs_unrelated,genuine,unrelated,3984,50000,0.3097767703443742,0.4492310739697705,0.30877312740818463,0.44903224843353506,0.06907365009502708,0.024235757436063633,-0.13945430362539635,10000,-0.13944762054584944,0.0010956064077606957,-0.14161377716016407,-0.13733397855689655,10000,9.999000099990002e-05,-4.658662909935814,group_a_lower,Group A has lower Hamming Distance than Group B.,/Users/sarahoualli/Desktop/BIO/iris_twins_project/data/statistical_resampling/daugman_strict_v3/plots/bootstrap_genuine_vs_unrelated.png
twin_all_vs_unrelated,twin_all,unrelated,6110,50000,0.43032831258230886,0.4492310739697705,0.43108830755841987,0.44903224843353506,0.025080707849973034,0.024235757436063633,-0.018902761387461664,10000,-0.018903671182603263,0.0003412625440125645,-0.01957217127241337,-0.018243136322712645,10000,9.999000099990002e-05,-0.7769584674630372,group_a_lower,Group A has lower Hamming Distance than Group B.,/Users/sarahoualli/Desktop/BIO/iris_twins_project/data/statistical_resampling/daugman_strict_v3/plots/bootstrap_twin_all_vs_unrelated.png
twin_same_eye_vs_unrelated_same_eye,twin_same_eye,unrelated_same_eye,3102,24918,0.42760663655704567,0.44877927338218415,0.4275519627189406,0.44869478658313333,0.025049298387010685,0.024176942705527386,-0.02117263682513848,10000,-0.021168403481810257,0.0004745915319934862,-0.022089927329764888,-0.020234422080058122,10000,9.999000099990002e-05,-0.8721979248922725,group_a_lower,Group A has lower Hamming Distance than Group B.,/Users/sarahoualli/Desktop/BIO/iris_twins_project/data/statistical_resampling/daugman_strict_v3/plots/bootstrap_twin_same_eye_vs_unrelated_same_eye.png
twin_cross_eye_vs_unrelated_cross_eye,twin_cross_eye,unrelated_cross_eye,3008,25082,0.4331350409833614,0.4496799204350236,0.434429080064186,0.4493145558629402,0.02480630941287365,0.024286207002344948,-0.016544879451662164,10000,-0.01654222368932977,0.00047742385131065694,-0.01749418470387024,-0.015614850735361507,10000,9.999000099990002e-05,-0.6796727894938295,group_a_lower,Group A has lower Hamming Distance than Group B.,/Users/sarahoualli/Desktop/BIO/iris_twins_project/data/statistical_resampling/daugman_strict_v3/plots/bootstrap_twin_cross_eye_vs_unrelated_cross_eye.png
same_subject_different_eye_vs_unrelated,same_subject_different_eye,unrelated,3295,50000,0.4301452493282074,0.4492310739697705,0.4290045248868778,0.44903224843353506,0.026129809092183563,0.024235757436063633,-0.01908582464156311,10000,-0.01909165160476455,0.00046495996648669084,-0.020014028251994942,-0.01818991390054145,10000,9.999000099990002e-05,-0.783583681588096,group_a_lower,Group A has lower Hamming Distance than Group B.,/Users/sarahoualli/Desktop/BIO/iris_twins_project/data/statistical_resampling/daugman_strict_v3/plots/bootstrap_same_subject_different_eye_vs_unrelated.png
twin_same_eye_vs_twin_cross_eye,twin_same_eye,twin_cross_eye,3102,3008,0.42760663655704567,0.4331350409833614,0.4275519627189406,0.434429080064186,0.025049298387010685,0.02480630941287365,-0.005528404426315747,10000,-0.005530267605826172,0.0006410928603468794,-0.006781221852295877,-0.004260427973113696,10000,9.999000099990002e-05,-0.22175736700838858,group_a_lower,Group A has lower Hamming Distance than Group B.,/Users/sarahoualli/Desktop/BIO/iris_twins_project/data/statistical_resampling/daugman_strict_v3/plots/bootstrap_twin_same_eye_vs_twin_cross_eye.png
