relation,count,mean,median,std,min,max
genuine,290,0.3017990050548907,0.2980979593400669,0.06412930759118943,0.126068376068376,0.4452799629801018
twin_same_eye,232,0.4279535563530382,0.4284972352183702,0.025944425147553178,0.3637869913686806,0.4946269261962692
same_subject_different_eye,316,0.43409571789199347,0.4325907898558582,0.024501013042936653,0.3651622367966862,0.517282837391043
twin_cross_eye,240,0.4344176543724057,0.43607030082960635,0.02722694642944834,0.3702853394555592,0.5156046814044213
unrelated,797,0.4448769277547929,0.4441049048429522,0.02315680199151016,0.3878952411370169,0.5377410252390656
