threshold,FAR,FRR,GAR
0.126068376068376,0.0,0.996551724137931,0.0034482758620689655
0.3031457187191423,0.0,0.4689655172413793,0.5310344827586206
0.3032735284859931,0.0,0.46551724137931033,0.5344827586206896
0.3042670234909307,0.0,0.46206896551724136,0.5379310344827586
0.3043478260869565,0.0,0.4586206896551724,0.5413793103448276
0.3043782192788815,0.0,0.45517241379310347,0.5448275862068965
0.304421768707483,0.0,0.4517241379310345,0.5482758620689655
0.3047752808988764,0.0,0.4482758620689655,0.5517241379310345
0.3054243595248318,0.0,0.44482758620689655,0.5551724137931034
0.3059235571798386,0.0,0.4413793103448276,0.5586206896551724
0.3059369066744559,0.0,0.4379310344827586,0.5620689655172414
0.3060264329837667,0.0,0.43448275862068964,0.5655172413793104
0.307165085951393,0.0,0.43103448275862066,0.5689655172413793
0.3025893508388038,0.0,0.4724137931034483,0.5275862068965518
0.3072289156626506,0.0,0.42758620689655175,0.5724137931034483
0.3086263996215108,0.0,0.4206896551724138,0.5793103448275863
0.3089965933725612,0.0,0.41724137931034483,0.5827586206896552
0.3093104005167958,0.0,0.41379310344827586,0.5862068965517241
0.3115418502202643,0.0,0.4103448275862069,0.5896551724137931
0.3124371678874048,0.0,0.4068965517241379,0.593103448275862
0.3144352064220183,0.0,0.40344827586206894,0.596551724137931
0.3153207607994842,0.0,0.4,0.6
0.3181055855330319,0.0,0.39655172413793105,0.603448275862069
0.319191261574074,0.0,0.3931034482758621,0.6068965517241379
0.3195544170159913,0.0,0.3896551724137931,0.6103448275862069
0.3200350723366944,0.0,0.38620689655172413,0.6137931034482759
0.3204239988915062,0.0,0.38275862068965516,0.6172413793103448
0.3075438075438075,0.0,0.4241379310344828,0.5758620689655173
0.3212440968122786,0.0,0.3793103448275862,0.6206896551724138
0.3023407468423943,0.0,0.47586206896551725,0.5241379310344828
0.3015902924329213,0.0,0.4827586206896552,0.5172413793103449
0.2882839267093698,0.0,0.5724137931034483,0.42758620689655175
0.2889806756158725,0.0,0.5689655172413793,0.43103448275862066
0.2895965070761819,0.0,0.5655172413793104,0.43448275862068964
0.2897983643542019,0.0,0.5620689655172414,0.4379310344827586
